n,Time_ij,Time_ji
    0 ,   3.0000000004193339E-006 ,   0.0000000000000000     
 1000 ,   7.5519999999995591E-003 ,   3.4570000000000434E-003
 2000 ,   4.0612000000000315E-002 ,   1.5667999999999793E-002
 3000 ,  0.17729999999999979      ,   3.2085999999999615E-002
 4000 ,  0.39361800000000002      ,   5.9553000000000189E-002
 5000 ,  0.70817700000000006      ,  0.11703300000000016     
 6000 ,  0.92394800000000110      ,  0.12349600000000116     
 7000 ,   1.2507730000000006      ,  0.16769200000000062     
 8000 ,   1.7240450000000003      ,  0.21731999999999907     
 9000 ,   2.1691830000000003      ,  0.27674200000000049     
10000 ,   2.6682959999999998      ,  0.34430700000000058     
11000 ,   3.2879179999999977      ,  0.46410499999999999     
12000 ,   3.9261440000000007      ,  0.49027600000000149     
13000 ,   4.6538729999999973      ,  0.57966599999999957     
14000 ,   5.5348579999999998      ,  0.67037399999999536     
15000 ,   6.4808099999999982      ,  0.77039100000000360     
16000 ,   7.3606520000000017      ,  0.88188399999999945     
